RefDes,Qty,Category,Function,Value_or_Part,Manufacturer,Manufacturer_Part_Number,Footprint,Population,Third_Party_Status,Datasheet_or_Product_URL,Release_Note
PCB1,1,PCB,Thin-Pod carrier printed circuit board,"Thin-Pod rev 0.1, 2-layer FR-4 PCB",Fabricator selected by builder,,N/A — PCB fabrication item,Required,Thin-Pod-created open-hardware source,,Fabricate from hardware/fabrication outputs; editable source in hardware/source.
J1,1,Connector,RAW_IN power entry,"JST PH, 2-pin, 2.00 mm pitch, horizontal/side-entry",JST,S2B-PH-K series — confirm exact purchased suffix before public release,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,Required,Commercial component,,Matches rev 0.1 KiCad footprint; exact orderable MPN remains to be recorded.
F1 (holder),1,Protection,Input overcurrent protection holder,5 × 20 mm PCB fuse holder / clip arrangement,Littelfuse-compatible,445/030 series footprint basis — confirm fitted holder,Fuse:Fuseholder_Littelfuse_445_030_series_5x20mm,Required,Commercial component,,KiCad design specifies a 5 × 20 mm holder footprint.
F1 (fuse element),1,Protection,Input overcurrent protection,"1 A, 5 × 20 mm cartridge fuse",To be selected,Confirm fuse characteristic and rating before public release,Installed in F1 holder,Required,Commercial component,,Schematic value is 'Fuse 1A'; slow/fast-blow characteristic is not presently specified.
D1,1,Protection,Reverse-polarity series protection,"1N5817 Schottky diode, 20 V, 1 A",Vishay or equivalent,1N5817,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,Required,Commercial component,https://www.vishay.com/docs/88525/1n5817.pdf,Polarity must match RAW_FUSED to RAW_PROT series path.
U4,1,Power module,Fixed 3.3 V regulated supply,"S7V8F3 step-up/step-down voltage regulator module, 3.3 V fixed",Pololu,2122 / S7V8F3,ThinPod_PowerModules:Pololu_S7V8F3_S7V8x_Module,Required,Commercial third-party module; not open hardware,https://www.pololu.com/product/2122,Project-local mating/interface footprint must be independently authored or appropriately licensed before publication.
U3,1,Power switch,PFET high-side switch for accelerometer supply rail,ZVP2106A P-channel enhancement-mode MOSFET,Diodes Incorporated,ZVP2106A,ThinPod:PFET_ZVP2106A_GSD_THT,Required,Commercial component; Thin-Pod footprint provenance to be recorded,https://www.diodes.com/part/view/ZVP2106A,Verify G-S-D mapping against the published footprint before repository release.
U2,1,Sensor module,Analogue vibration sensing,ADXL1005 evaluation-board / breakout implementation,Analog Devices,EVAL-ADXL1005Z — confirm exact physically used assembly before public release,ThinPod:AnalogDevices_EVAL-ADXL100xZ_20p35mm,Required,Commercial third-party module; not open hardware,https://www.analog.com/en/products/adxl1005.html,"The footprint is a module interface, not a bare ADXL1005BCPZ chip footprint; publish only if independently authored or appropriately licensed."
U5,1,UWB development module,Commercial pod-side MCU/UWB board interface and ADC/control connection,DWM3001CDK Ultra-Wideband Module Development Kit,Qorvo,DWM3001CDK,ThinPod:ThinPod_DWM3001CDK_Mating_Interface_revA,Required,Commercial third-party development board; not open hardware,https://www.qorvo.com/products/p/DWM3001CDK,Release footprint is Thin-Pod-authored; corrected rev 0.1 interface ties J1_2 and J10_6/9/14/20/25 to carrier GND.
R1,1,Passive,Analogue signal series resistor / RC filter element,8 kΩ,Generic,Any suitable THT axial resistor; 1% recommended,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Required,Standard commercial component,,"With C1 = 680 pF, nominal single-pole corner frequency is approximately 29.3 kHz."
R2,1,Passive,PFET gate bias resistor,100 kΩ,Generic,Any suitable THT axial resistor; 1% recommended,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Required,Standard commercial component,,Function and connection should be checked against final corrected schematic.
R3,1,Passive,PFET control/gate series resistor,1 kΩ,Generic,Any suitable THT axial resistor; 1% recommended,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Required,Standard commercial component,,Connected between PFET_CTRL and PFET_GATE in the rev 0.1 design.
R4,1,Passive,ADC_NODE pull-down / input reference path,1 MΩ,Generic,Any suitable THT axial resistor; 1% recommended,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Required,Standard commercial component,,
C1,1,Passive,ADC_NODE RC filter capacitor,680 pF,Generic,C0G/NP0 ceramic recommended,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,Required,Standard commercial component,,"With R1 = 8 kΩ, nominal single-pole corner frequency is approximately 29.3 kHz."
C2,1,Passive,Local accelerometer supply decoupling,100 nF,Generic,Ceramic capacitor; suitable voltage rating,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,Required,Standard commercial component,,
C3,1,Passive,Local accelerometer supply bulk decoupling,"10 µF, non-polar",Generic,Non-polar ceramic or suitable non-polar component; confirm fitted part,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,Required,Standard commercial component,,Rev 0.1 source uses a non-polar THT footprint.
TP1,1,Test point,RAW_IN measurement point,RAW_IN,Generic / plated PCB test point,,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PCB pad / optional fitted pin,PCB feature / standard component,,
TP2,1,Test point,RAW_FUSED measurement point,RAW_FUSED,Generic / plated PCB test point,,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PCB pad / optional fitted pin,PCB feature / standard component,,
TP3,1,Test point,RAW_PROT measurement point,RAW_PROT,Generic / plated PCB test point,,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PCB pad / optional fitted pin,PCB feature / standard component,,
TP4,1,Test point,Regulated supply measurement point,3V3+,Generic / plated PCB test point,,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PCB pad / optional fitted pin,PCB feature / standard component,,
TP5,1,Test point,Ground reference measurement point,GND,Generic / plated PCB test point,,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PCB pad / optional fitted pin,PCB feature / standard component,,
TP6,1,Test point,Raw sensor analogue measurement point,SENSOR_SIGNAL_RAW / ACC_VOUT,Generic / plated PCB test point,,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PCB pad / optional fitted pin,PCB feature / standard component,,
TP7,1,Test point,Filtered sensor / ADC input measurement point,SENSOR_SIGNAL_FILTERED / ADC_NODE,Generic / plated PCB test point,,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,PCB pad / optional fitted pin,PCB feature / standard component,,
